POPTOT-SN-RGPHAE-2013,,13 508 715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROJECTION DE LA POPULATION DE LA REGION DE DAKAR - 2013-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOM LOCALITE,RGPHAE 2013,,,2014,,,2015,,,2016,,,2017,,,2018,,,2019,,,2020,,,2021,,,2022,,,2023,,,2024,,,2025,,
,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble
COM. POPOGUINE,4 279,4 372,8651,4397,4493,8890,4519,4618,9137,4644,4745,9389,4772,4876,9648,4903,5010,9913,5037,5146,10183,5173,5286,10460,5313,5428,10741,5455,5573,11028,5599,5721,11321,5746,5871,11617,5895,6023,11919
COM. SALY PORTUDAL,14 151,12 794,26945,14542,13148,27691,14946,13513,28458,15359,13886,29245,15782,14269,30051,16215,14660,30875,16657,15060,31717,17109,15469,32578,17570,15885,33456,18040,16310,34350,18518,16742,35260,19003,17181,36184,19496,17627,37123
COM. SOMONE,2 833,2 615,5448,2912,2687,5599,2992,2761,5754,3075,2838,5913,3160,2916,6076,3246,2996,6243,3335,3078,6413,3425,3161,6587,3518,3246,6764,3612,3333,6945,3707,3421,7129,3805,3511,7316,3903,3602,7506
ARRONDISSEMENT FISSEL,41949,42887,84836,43110,44074,87184,44305,45295,89600,45529,46548,92077,46784,47830,94614,48067,49142,97209,49379,50483,99862,50719,51853,102571,52085,53250,105334,53477,54673,108150,54894,56121,111015,56333,57593,113926,57794,59086,116880
CR. FISSEL,18 716,19 651,38367,19234,20194,39429,19767,20754,40522,20314,21328,41642,20873,21916,42789,21446,22517,43963,22031,23131,45163,22629,23759,46388,23238,24399,47637,23859,25051,48911,24492,25715,50206,25134,26389,51523,25786,27073,52859
CR. N’DIAGANIAO,23 233,23 236,46469,23876,23879,47755,24537,24541,49079,25216,25219,50435,25910,25914,51825,26621,26625,53246,27348,27351,54700,28090,28093,56183,28846,28850,57697,29617,29621,59239,30402,30406,60808,31199,31203,62403,32008,32012,64021
ARRONDISSEMENT SESSENE,44879,42818,87697,46121,44003,90124,47399,45223,92622,48710,46473,95182,50051,47753,97804,51424,49063,100487,52828,50402,103230,54261,51769,106030,55723,53164,108887,57212,54585,111797,58728,56031,114759,60268,57500,117768,61831,58991,120822
CR. N’GUENIENE,17 912,16 569,34481,18408,17028,35435,18918,17500,36417,19441,17983,37424,19976,18479,38455,20524,18986,39510,21084,19504,40588,21656,20033,41689,22240,20573,42812,22834,21123,43957,23439,21682,45121,24054,22251,46304,24678,22828,47505
CR. SANDIARA,14 345,14 085,28430,14742,14474,29217,15151,14876,30027,15569,15287,30857,15998,15708,31707,16437,16139,32576,16886,16579,33466,17344,17029,34373,17811,17488,35299,18287,17955,36243,18772,18431,37203,19264,18914,38179,19763,19405,39169
CR. SESSENE,12 622,12 164,24786,12971,12501,25472,13331,12847,26178,13699,13203,26902,14077,13566,27643,14463,13938,28401,14858,14319,29176,15261,14707,29968,15672,15104,30775,16091,15507,31597,16517,15918,32434,16950,16335,33285,17390,16759,34148
ARRONDISSEMENT SINDIA,62907,62182,125089,64648,63903,128551,66440,65674,132114,68276,67489,135766,70157,69349,139506,72082,71251,143333,74049,73196,147245,76058,75181,151239,78107,77207,155314,80194,79270,159464,82319,81370,163689,84478,83504,167982,86668,85669,172338
CR. MALICOUNDA,31 310,29 721,61031,32177,30543,62720,33069,31390,64458,33983,32258,66240,34919,33146,68065,35877,34056,69932,36856,34985,71841,37856,35934,73790,38876,36902,75778,39915,37888,77803,40972,38892,79864,42046,39912,81958,43137,40947,84084
CR. DIASS,14 842,15 554,30396,15252,15984,31237,15675,16427,32103,16108,16882,32990,16552,17347,33899,17006,17822,34829,17470,18309,35780,17944,18806,36750,18428,19312,37740,18920,19828,38749,19421,20354,39776,19931,20887,40819,20448,21429,41877
CR. SINDIA,16 755,16 908,33663,17219,17375,34595,17696,17857,35553,18185,18351,36536,18686,18856,37543,19199,19373,38573,19723,19902,39625,20258,20442,40700,20804,20993,41797,21360,21554,42914,21925,22125,44051,22500,22705,45206,23084,23294,46378
DEPARTEMENT THIES,331416,336398,667814,340587,345707,686294,350028,355289,705317,359703,365111,724814,369613,375169,744782,379752,385461,765213,390116,395981,786097,400699,406723,807422,411494,417680,829174,422492,428843,851335,433684,440204,873888,445058,451748,896806,456599,463462,920061
COM. KHOMBOLE,7 531,8 056,15587,7739,8279,16018,7953,8509,16462,8173,8744,16917,8399,8985,17383,8629,9231,17860,8864,9483,18348,9105,9741,18846,9350,10003,19353,9600,10270,19870,9854,10542,20397,10113,10819,20932,10375,11099,21475
COM. POUT,11 803,11 925,23728,12130,12255,24385,12466,12595,25061,12811,12943,25753,13163,13299,26463,13525,13664,27189,13894,14037,27931,14271,14418,28688,14655,14806,29461,15047,15202,30249,15445,15605,31050,15850,16014,31864,16261,16429,32691
COM. CAYAR,11 986,11 599,23585,12318,11920,24238,12659,12251,24909,13009,12589,25598,13367,12936,26303,13734,13291,27025,14109,13654,27762,14492,14024,28516,14882,14402,29284,15280,14787,30066,15684,15179,30863,16096,15577,31672,16513,15981,32494
ARRONDISSEMENT THIES NORD,51933,52162,104095,53370,53605,106975,54850,55091,109941,56366,56614,112980,57919,58174,116092,59507,59769,119277,61131,61401,122532,62790,63066,125856,64481,64765,129247,66205,66496,132701,67959,68258,136216,69741,70048,139789,71549,71864,143414
CA. THIES NORD,51 933,52 162,104095,53370,53605,106976,54850,55091,109941,56366,56614,112980,57919,58174,116092,59507,59769,119277,61131,61401,122532,62790,63066,125856,64481,64765,129247,66205,66496,132701,67959,68258,136217,69741,70048,139789,71549,71864,143414
ARRONDISSEMENT THIES SUD,103703,109965,213668,106573,113008,219581,109527,116140,225667,112554,119351,231905,115655,122639,238294,118828,126003,244831,122071,129442,251513,125382,132953,258336,128760,136535,265295,132201,140184,272386,135704,143898,279602,139263,147672,286934,142874,151501,294375
CA. THIES EST,64 600,67 481,132080,66387,69348,135735,68228,71270,139497,70114,73240,143353,72045,75258,147303,74021,77323,151343,76042,79433,155474,78105,81588,159692,80209,83786,163994,82352,86025,168377,84534,88304,172837,86751,90620,177370,89000,92969,181969
CA. THIES OUEST,39 103,42 484,81588,40185,43660,83846,41299,44870,86170,42441,46110,88552,43610,47381,90991,44806,48680,93487,46029,50009,96039,47278,51366,98644,48552,52749,101302,49849,54159,104009,51170,55594,106764,52512,57052,109564,53874,58531,112405
ARRONDISSEMNT NOTTO,31667,30536,62203,32543,31381,63924,33445,32251,65696,34370,33142,67512,35317,34055,69372,36286,34990,71275,37276,35945,73220,38287,36920,75207,39319,37914,77233,40369,38928,79297,41439,39959,81398,42526,41007,83532,43628,42070,85698
CR. NOTTO,20 951,20 985,41936,21531,21566,43096,22128,22163,44291,22740,22776,45515,23366,23403,46769,24007,24045,48052,24662,24702,49364,25331,25372,50703,26014,26055,52069,26709,26752,53460,27417,27460,54877,28136,28181,56316,28865,28911,57776
CR. TASSETTE,10 715,9 552,20267,11012,9816,20828,11317,10088,21405,11630,10367,21997,11950,10652,22603,12278,10945,23223,12613,11243,23857,12956,11548,24504,13305,11859,25164,13660,12176,25837,14022,12499,26521,14390,12827,27217,14763,13159,27922
ARRONDISSEMNT THIENABA,61872,61865,123737,63584,63577,127161,65347,65339,130686,67153,67145,134298,69003,68995,137998,70896,70888,141784,72831,72823,145653,74807,74798,149605,76822,76813,153635,78875,78866,157741,80964,80955,161920,83088,83078,166166,85242,85233,170475
CR. N’DIEYENE SIRAKH,15 198,14 916,30114,15619,15328,30947,16052,15753,31805,16496,16189,32684,16950,16635,33585,17415,17091,34506,17890,17558,35448,18376,18034,36409,18871,18520,37390,19375,19015,38390,19888,19518,39407,20410,20030,40440,20939,20550,41489
CR. N’GOUNDIANE,12 417,12 260,24677,12761,12599,25360,13115,12948,26063,13477,13306,26783,13848,13673,27521,14228,14048,28276,14617,14431,29048,15013,14823,29836,15418,15222,30640,15830,15629,31458,16249,16043,32292,16675,16464,33139,17107,16891,33998
CR. THIENABA,12 002,12 252,24254,12334,12592,24925,12676,12941,25616,13026,13298,26324,13385,13665,27049,13752,14039,27791,14128,14423,28550,14511,14814,29324,14902,15213,30114,15300,15620,30919,15705,16033,31738,16117,16454,32571,16535,16880,33415
CR. TOUBA TOUL,22 254,22 437,44691,22870,23058,45928,23504,23697,47201,24153,24352,48506,24819,25023,49842,25500,25710,51209,26196,26411,52607,26906,27128,54034,27631,27859,55489,28370,28603,56972,29121,29361,58482,29885,30131,60015,30660,30912,61572
ARRONDISSEMNT KEUR MOUSSA,50921,50290,101211,52330,51682,104012,53781,53114,106895,55267,54582,109850,56790,56086,112876,58348,57625,115972,59940,59197,119137,61566,60803,122369,63225,62441,125666,64914,64110,129025,66634,65808,132443,68382,67534,135916,70155,69286,139440
CR. DIENDER GUEDJI,16 630,16 682,33312,17090,17143,34234,17564,17619,35183,18049,18106,36155,18547,18604,37151,19055,19115,38170,19575,19636,39212,20106,20169,40276,20648,20712,41361,21200,21266,42466,21762,21829,43591,22332,22402,44735,22911,22983,45895
CR. FANDENE,14 683,13 367,28050,15089,13737,28826,15507,14118,29625,15936,14508,30444,16375,14907,31283,16824,15316,32141,17283,15734,33018,17752,16161,33914,18230,16597,34828,18718,17040,35758,19213,17492,36706,19717,17950,37668,20229,18416,38645
CR. KEUR MOUSSA,19 608,20 242,39850,20151,20802,40953,20709,21378,42088,21282,21969,43251,21868,22574,44443,22468,23194,45662,23081,23827,46908,23707,24473,48181,24346,25132,49479,24997,25804,50801,25659,26488,52147,26332,27182,53514,27015,27887,54902
DEPARTEMENT TIVAOUANE,226281,225891,452172,232543,232142,464685,238988,238577,477565,245595,245171,490766,252361,251926,504286,259283,258836,518120,266360,265901,532261,273586,273114,546700,280956,280472,561428,288465,287968,576432,296107,295596,591703,303872,303349,607221,311752,311215,622966
COM. MEKHE,10 925,12 018,22944,11228,12351,23579,11539,12693,24232,11858,13044,24902,12185,13403,25588,12519,13771,26290,12860,14147,27008,13209,14531,27741,13565,14922,28488,13928,15321,29249,14297,15727,30024,14672,16139,30811,15052,16558,31610
COM. TIVAOUANE,34 769,34 787,69556,35731,35750,71481,36721,36741,73462,37736,37756,75493,38776,38797,77573,39839,39861,79701,40927,40949,81876,42037,42060,84097,43169,43193,86362,44323,44347,88671,45497,45522,91020,46691,46716,93407,47901,47927,95829
COM. M’BORO,14 095,13 598,27693,14485,13975,28459,14887,14362,29248,15298,14759,30057,15720,15166,30885,16151,15582,31732,16592,16007,32598,17042,16441,33482,17501,16884,34384,17969,17335,35303,18445,17794,36238,18928,18261,37189,19419,18735,38153
ARRONDISSEMENT MEOUANE,55719,55595,111314,57261,57133,114394,58848,58717,117565,60475,60340,120815,62141,62003,124143,63845,63703,127549,65588,65442,131030,67367,67217,134585,69182,69028,138210,71031,70873,141904,72913,72750,145663,74825,74658,149483,76765,76594,153360
CR. MEOUANE,17 185,18 430,35615,17660,18940,36601,18150,19465,37615,18651,20003,38655,19165,20554,39720,19691,21118,40809,20228,21695,41923,20777,22283,43060,21337,22883,44220,21907,23495,45402,22487,24117,46605,23077,24750,47827,23676,25392,49068
CR. TAIBA N’DIAYE,11 034,11 234,22268,11340,11545,22884,11654,11865,23519,11976,12193,24169,12306,12529,24834,12644,12872,25516,12989,13224,26212,13341,13582,26923,13701,13948,27648,14067,14321,28387,14439,14700,29139,14818,15086,29904,15202,15477,30679
CR. DAROU KHOUDOSS,27 500,25 931,53431,28261,26648,54910,29045,27387,56432,29847,28144,57991,30670,28919,59589,31511,29713,61224,32371,30523,62895,33249,31352,64601,34145,32196,66341,35057,33057,68114,35986,33932,69919,36930,34822,71752,37888,35725,73613
ARRONDISSEMENT MERINA DAKHAR,39901,39078,78979,41005,40159,81165,42142,41273,83414,43307,42413,85720,44500,43582,88082,45720,44777,90498,46968,45999,92968,48242,47247,95490,49542,48520,98062,50866,49817,100683,52214,51137,103350,53583,52478,106061,54972,53839,108811
CR. KOUL,13 255,13 620,26875,13621,13997,27619,13999,14385,28384,14386,14783,29169,14782,15190,29972,15188,15607,30795,15602,16033,31635,16026,16468,32493,16457,16911,33369,16897,17363,34260,17345,17823,35168,17800,18291,36090,18261,18765,37026
CR. MERINA DAKHAR,16 419,15 926,32345,16873,16367,33240,17341,16821,34161,17821,17286,35106,18311,17762,36073,18814,18249,37062,19327,18747,38074,19852,19256,39107,20386,19774,40160,20931,20303,41234,21486,20841,42326,22049,21387,43436,22621,21942,44562
CR. PEKESSE,10 228,9 531,19758,10511,9795,20305,10802,10066,20868,11101,10344,21444,11406,10629,22035,11719,10921,22640,12039,11219,23258,12366,11523,23888,12699,11834,24532,13038,12150,25188,13384,12472,25855,13735,12799,26533,14091,13131,27221
ARRONDISSEMENT NIAKHENE,28428,27796,56224,29215,28565,57780,30024,29357,59381,30854,30168,61023,31704,31000,62704,32574,31850,64424,33463,32719,66182,34371,33607,67978,35297,34512,69809,36240,35435,71675,37200,36373,73574,38176,37327,75503,39166,38295,77461
CR. M’BAYENE,4 618,4 709,9327,4746,4839,9585,4877,4974,9851,5012,5111,10123,5150,5252,10402,5292,5396,10687,5436,5543,10979,5584,5694,11277,5734,5847,11581,5887,6003,11890,6043,6162,12205,6202,6324,12525,6362,6488,12850
CR. N’GANDIOUF,13 394,12 875,26269,13764,13231,26996,14146,13598,27744,14537,13974,28511,14937,14359,29297,15347,14753,30100,15766,15156,30922,16194,15567,31761,16630,15986,32616,17074,16413,33488,17527,16848,34375,17986,17290,35277,18453,17738,36191
CR. NIAKHENE,4 481,4 430,8911,4605,4553,9158,4733,4679,9411,4864,4808,9672,4998,4941,9938,5135,5076,10211,5275,5215,10489,5418,5356,10774,5564,5500,11064,5712,5648,11360,5864,5797,11661,6018,5949,11967,6174,6103,12277
CR. THILMAKHA,5 935,5 782,11717,6100,5942,12041,6269,6106,12375,6442,6275,12717,6619,6448,13067,6801,6625,13426,6987,6806,13792,7176,6990,14166,7369,7179,14548,7566,7371,14937,7767,7566,15333,7971,7764,15735,8177,7966,16143
ARRONDISSEMENT PAMBAL,42444,43018,85462,43619,44208,87827,44828,45434,90261,46067,46690,92756,47336,47976,95312,48634,49292,97926,49962,50637,100599,51317,52011,103328,52700,53412,106112,54108,54840,108948,55541,56292,111834,56998,57769,114767,58476,59267,117743
CR. CHERIF LÖ,9 058,8 755,17813,9309,8997,18306,9567,9247,18813,9831,9502,19333,10102,9764,19866,10379,10032,20411,10662,10306,20968,10952,10585,21537,11247,10870,22117,11547,11161,22708,11853,11457,23310,12164,11757,23921,12479,12062,24541
CR. MONT- ROLLAND,6 818,7 304,14122,7007,7506,14513,7201,7714,14915,7400,7927,15327,7604,8146,15750,7813,8369,16182,8026,8598,16623,8244,8831,17074,8466,9069,17534,8692,9311,18003,8922,9558,18480,9156,9809,18964,9394,10063,19456
CR. NOTTO GOUYE DIAMA,10 772,11 043,21814,11070,11348,22418,11377,11663,23039,11691,11985,23676,12013,12315,24328,12343,12653,24996,12680,12998,25678,13024,13351,26374,13375,13711,27085,13732,14077,27809,14096,14450,28545,14466,14829,29294,14841,15214,30054
CR. PIRE GOUREYE,11 786,11 591,23377,12112,11912,24024,12448,12242,24690,12792,12581,25372,13144,12927,26071,13505,13282,26786,13873,13644,27518,14250,14014,28264,14634,14392,29025,15025,14777,29801,15423,15168,30591,15827,15566,31393,16238,15970,32207
CR. PAMBAL,4 010,4 325,8335,4121,4445,8566,4235,4568,8803,4353,4694,9046,4472,4823,9296,4595,4956,9551,4721,5091,9811,4849,5229,10077,4979,5370,10349,5112,5513,10626,5248,5660,10907,5385,5808,11193,5525,5959,11483
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROJECTION DE LA POPULATION D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOM LOCALITE,RGPHAE 2013,,,2014,,,2015,,,2016,,,2017,,,2018,,,2019,,,2020,,,2021,,,2022,,,2023,,,2024,,,2025,,
,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble
REGION ZIGUINCHOR,281813,267338,549151,290483,275457,565940,299553,283975,583528,309029,292900,601929,318921,302247,621168,329235,312019,641254,339970,322209,662179,351130,332822,683952,362704,343850,706554,374672,355279,729951,387015,367094,754109,399711,379274,778985,412736,391797,804533
ZONE URBAINE,127746,124510,252256,134784,127812,262596,140490,133184,273674,146171,138542,284713,152444,144474,296918,158691,150393,309084,165225,156594,321819,172405,163416,335821,179539,170206,349745,187336,177640,364976,195055,185015,380070,203053,192671,395724,211733,200992,412725
ZONE RURALE,154 067,142 828,296 895,155699,147645,303344,159063,150790,309853,162858,154358,317216,166477,157773,324250,170544,161626,332170,174744,165615,340359,178725,169406,348131,183166,173644,356810,187336,177640,364976,191959,182078,374037,196658,186603,383261,201002,190805,391807
DEPARTEMENT BIGNONA,130878,121676,252554,134879,125396,260275,139071,129293,268364,143456,133370,276827,148042,137633,285675,152829,142083,294912,157816,146720,304535,163005,151544,314549,168392,156552,324943,173968,161736,335704,179725,167089,346814,185654,172601,358254,191743,178261,370004
COM. BIGNONA,13 853,13 973,27826,14277,14400,28677,14720,14848,29568,15185,15316,30500,15670,15806,31475,16177,16317,32493,16705,16849,33553,17254,17403,34656,17824,17978,35802,18414,18574,36987,19024,19188,38211,19651,19821,39472,20296,20471,40766
COM. THIONCK-ESSYL,4 192,4 196,8388,4321,4324,8644,4455,4458,8913,4595,4599,9194,4742,4746,9488,4896,4899,9795,5055,5059,10114,5222,5225,10447,5394,5398,10792,5573,5577,11150,5757,5761,11519,5947,5952,11899,6142,6147,12289
COM. DIOULOULOU,3 055,2 865,5920,3148,2953,6101,3246,3045,6291,3348,3141,6489,3455,3241,6696,3567,3346,6913,3683,3455,7138,3805,3569,7373,3930,3686,7617,4060,3809,7869,4195,3935,8130,4333,4064,8398,4475,4198,8673
ARRONDISSEMENT SINDIAN,22897,19961,42858,23597,20571,44168,24330,21211,45541,25098,21879,46977,25900,22579,48479,26737,23309,50046,27610,24069,51679,28518,24861,53378,29460,25682,55142,30436,26533,56968,31443,27411,58854,32480,28315,60795,33545,29244,62789
CR. DJIBIDIONE,4 645,3 806,8452,4787,3922,8710,4936,4044,8981,5092,4172,9264,5255,4305,9560,5425,4444,9870,5602,4589,10192,5786,4740,10527,5977,4897,10875,6175,5059,11235,6379,5227,11607,6590,5399,11989,6806,5576,12383
CR. OULAMPANE,7 226,6 394,13620,7447,6589,14036,7678,6794,14473,7920,7008,14929,8173,7232,15406,8438,7466,15904,8713,7710,16423,8999,7963,16963,9297,8227,17524,9605,8499,18104,9923,8780,18703,10250,9070,19320,10586,9367,19954
CR. SINDIAN,6 290,5 351,11641,6483,5515,11997,6684,5686,12370,6895,5865,12760,7115,6053,13168,7345,6249,13593,7585,6453,14037,7834,6665,14499,8093,6885,14978,8361,7113,15474,8638,7348,15986,8923,7591,16513,9215,7840,17055
CR. SUELLE,4 735,4 410,9146,4880,4545,9426,5032,4686,9719,5191,4834,10025,5356,4989,10345,5530,5150,10680,5710,5318,11028,5898,5493,11391,6093,5674,11768,6294,5862,12157,6503,6056,12560,6717,6256,12974,6938,6461,13399
ARRONDISSEMN TENDOUCK,16554,15933,32487,17060,16420,33480,17590,16930,34521,18145,17464,35609,18725,18022,36747,19330,18605,37936,19961,19212,39174,20618,19844,40462,21299,20500,41799,22004,21179,43183,22732,21880,44612,23482,22601,46084,24252,23343,47595
CR. BALINGORE,2 840,2 656,5496,2927,2737,5664,3018,2822,5840,3113,2911,6024,3213,3004,6217,3317,3101,6418,3425,3202,6627,3538,3307,6845,3655,3417,7071,3776,3530,7305,3901,3647,7547,4029,3767,7796,4161,3891,8052
CR. DIEGOUNE,3 806,3 705,7511,3922,3818,7741,4044,3937,7981,4172,4061,8233,4305,4191,8496,4444,4326,8771,4589,4468,9057,4740,4614,9355,4897,4767,9664,5059,4925,9984,5227,5088,10314,5399,5256,10655,5576,5428,11004
CR. KARTHIACK,4 015,3 923,7938,4138,4043,8181,4267,4168,8435,4401,4300,8701,4542,4437,8979,4689,4581,9269,4842,4730,9572,5001,4886,9887,5166,5047,10213,5338,5214,10551,5514,5387,10901,5696,5565,11260,5883,5747,11630
CR. MANGAGOULACK,4 327,4 150,8477,4460,4277,8736,4598,4410,9008,4743,4549,9292,4895,4694,9589,5053,4846,9899,5218,5004,10222,5390,5168,10558,5568,5339,10907,5752,5516,11268,5943,5699,11641,6139,5887,12025,6340,6080,12419
CR. MLOMP,1 565,1 500,3065,1613,1546,3159,1663,1594,3257,1716,1644,3360,1770,1697,3467,1828,1751,3579,1887,1809,3696,1949,1868,3817,2014,1930,3944,2080,1994,4074,2149,2060,4209,2220,2128,4348,2293,2197,4490
ARRONDISSEMNT TENGHORY,30909,29825,60734,31854,30737,62591,32844,31692,64536,33880,32691,66571,34962,33736,68699,36093,34827,70920,37271,35964,73234,38496,37146,75642,39768,38374,78142,41085,39644,80730,42445,40956,83402,43845,42308,86153,45283,43695,88978
CR. COUBALAN,6 239,5 880,12119,6430,6059,12490,6629,6248,12878,6838,6445,13284,7057,6651,13708,7285,6866,14152,7523,7090,14613,7770,7323,15094,8027,7565,15593,8293,7816,16109,8567,8074,16642,8850,8341,17191,9140,8614,17755
CR. NIAMONE,3 865,3 716,7581,3983,3830,7813,4107,3949,8056,4236,4074,8310,4371,4204,8575,4513,4340,8852,4660,4481,9141,4813,4629,9442,4972,4782,9754,5137,4940,10077,5307,5104,10410,5482,5272,10754,5662,5445,11107
CR. OUONCK,5 249,5 043,10292,5410,5197,10607,5578,5358,10936,5753,5527,11281,5937,5704,11642,6129,5889,12018,6329,6081,12410,6538,6281,12818,6754,6488,13242,6977,6703,13680,7208,6925,14133,7446,7153,14599,7690,7388,15078
CR. TENGHORY,15 557,15 186,30743,16032,15650,31683,16531,16137,32668,17052,16646,33698,17597,17178,34775,18166,17733,35899,18759,18312,37071,19376,18914,38290,20016,19539,39555,20679,20186,40865,21363,20854,42217,22068,21542,43610,22791,22248,45040
